throughput,threads,uratio,lsize
7679558.0468360735,1,0,100
731497.7600796416,1,0,1000
35394.04466501241,1,0,10000
4025597.31209557,4,0,100
334170.6467661692,4,0,1000
22289.90551964197,4,0,10000
1203561.7253346555,6,0,100
131231.9127849356,6,0,1000
16308.991554893195,6,0,10000
1305724.5301681506,8,0,100
122865.84158415842,8,0,1000
15836.471754212092,8,0,10000
1282124.1345202771,10,0,100
120357.88433020267,10,0,1000
17447.368421052633,10,0,10000
1122683.51440718,12,0,100
119610.479485912,12,0,1000
13133.031674208145,12,0,10000
7326008.474576272,1,10,100
338481.55533399805,1,10,1000
33714.855433698904,1,10,10000
3262630.8457711446,4,10,100
206095.52238805973,4,10,1000
18308.611249377802,4,10,10000
1049227.1825396826,6,10,100
81194.44444444444,6,10,1000
16506.71307807061,6,10,10000
1000020.2869866403,8,10,100
79604.6511627907,8,10,1000
16303.57142857143,8,10,10000
997120.6726013848,10,10,100
76017.81296387927,10,10,1000
15553.296975706495,10,10,10000
940704.1975308643,12,10,100
76734.6837944664,12,10,1000
15055.032226078334,12,10,10000
5789177.290836654,1,100,100
454915.29646238167,1,100,1000
32033.89830508475,1,100,10000
2585376.1194029856,4,100,100
251637.6306620209,4,100,1000
17140.726006961708,4,100,10000
926915.7164105107,6,100,100
97413.39950372207,6,100,1000
17780.318091451292,6,100,10000
879773.1550272411,8,100,100
88333.00346363187,8,100,1000
14587.59305210918,8,100,10000
867547.2071181413,10,100,100
88573.26732673268,10,100,1000
14881.507188894398,10,100,10000
707478.4972812654,12,100,100
84451.35802469136,12,100,1000
15677.052423343226,12,100,10000
