throughput,threads,uratio,lsize
2535058.59375,1,0,100
238773.6220472441,1,0,1000
7735.3515625,1,0,10000
4157622.398414272,2,0,100
300614.28571428574,2,0,1000
18652.471855115025,2,0,10000
5901396.92765114,3,0,100
508201.8756169793,3,0,1000
18577.164973391387,3,0,10000
5187527.736867943,4,0,100
526367.8500986194,4,0,1000
27543.12015503876,4,0,10000
5654167.562286272,5,0,100
529448.0582524271,5,0,1000
25701.32417851888,5,0,10000
5845795.957651588,6,0,100
527810.996563574,6,0,1000
27450.36674816626,6,0,10000
5889966.193042627,7,0,100
501334.6098611776,7,0,1000
26994.202898550728,7,0,10000
5993892.718446602,8,0,100
508850.75352455035,8,0,1000
27429.050814956856,8,0,10000
6002336.089494163,9,0,100
531449.9274310594,9,0,1000
25429.10798122066,9,0,10000
5959259.865255053,10,0,100
501278.3171521036,10,0,1000
25720.302886890677,10,0,10000
5877808.365758754,11,0,100
554221.6867469879,11,0,1000
27559.232613908873,11,0,10000
6240242.380261248,12,0,100
548015.230842456,12,0,1000
27696.780394041325,12,0,10000
2501938.4539635647,1,10,100
82800.29368575623,1,10,1000
9474.791972589328,1,10,10000
3709258.4766584765,2,10,100
186930.86419753087,2,10,1000
21392.998027613412,2,10,10000
3475126.1705273534,3,10,100
237134.97536945814,3,10,1000
21699.374699374697,3,10,10000
5202351.965892941,4,10,100
256830.37475345167,4,10,1000
21883.173076923074,4,10,10000
5756962.763351299,5,10,100
259280.4518664047,5,10,1000
23888.18359375,5,10,10000
5666276.938078986,6,10,100
235975.96153846153,6,10,1000
25111.32623426912,6,10,10000
5908652.34375,7,10,100
259929.89289191822,7,10,1000
20520.3488372093,7,10,10000
5443119.138755981,8,10,100
245699.34024505186,8,10,1000
25499.292786421498,8,10,10000
5670508.720930233,9,10,100
253474.75728155338,9,10,1000
25752.688172043014,9,10,10000
5363860.110803325,10,10,100
269824.5869776482,10,10,1000
26854.94716618636,10,10,10000
4979805.016564127,11,10,100
257016.354016354,11,10,1000
25116.781609195405,11,10,10000
5033588.772250115,12,10,100
261542.11035818007,12,10,1000
26283.173076923074,12,10,10000
2537058.035714286,1,25,100
