throughput,threads,uratio,lsize
1732149.2390770742,1,0,100
105815.22793404463,1,0,1000
7140.6018746916625,1,0,10000
4903437.837837838,2,0,100
319151.3963743263,2,0,1000
22351.058591826684,2,0,10000
5821899.608227229,3,0,100
421604.61689587426,3,0,1000
27662.439024390245,3,0,10000
7007408.208296558,4,0,100
581580.9893307469,4,0,1000
35185.58207501218,4,0,10000
8507023.091423186,5,0,100
609611.5107913669,5,0,1000
30489.300998573464,5,0,10000
7939747.553816047,6,0,100
766105.7416267943,6,0,1000
48426.182513139036,6,0,10000
9585008.180943215,7,0,100
884816.7938931297,7,0,1000
67594.20289855073,7,0,10000
1.1492761433286186E7,8,0,100
1116357.4508864398,8,0,1000
50896.8253968254,8,0,10000
7705189.53068592,9,0,100
1641070.2676864243,9,0,1000
102416.1008729389,9,0,10000
1.6985862763915546E7,10,0,100
1632843.1752178124,10,0,1000
92294.79768786127,10,0,10000
1.4180127376425855E7,11,0,100
1368731.1121539185,11,0,1000
101115.59888579388,11,0,10000
1.706759925788497E7,12,0,100
1693485.2661596958,12,0,1000
100989.16116870877,12,0,10000
2110018.2086614175,1,10,100
120401.08534780463,1,10,1000
14221.509620128267,1,10,10000
3405985.2071005916,2,10,100
217734.05299313055,2,10,1000
18938.76567020251,2,10,10000
3410018.3663605605,3,10,100
371823.673870334,3,10,1000
29614.41090555015,3,10,10000
5335212.827988339,4,10,100
404429.89289191825,4,10,1000
25034.069097888674,4,10,10000
4402178.606001937,5,10,100
319893.4034416826,5,10,1000
40333.333333333336,5,10,10000
4991206.8965517245,6,10,100
420592.0560747663,6,10,1000
46664.75917978064,6,10,10000
4980993.5567010315,7,10,100
404862.0205799813,7,10,1000
42842.81091077208,7,10,10000
4593895.465994962,8,10,100
724012.4521072797,8,10,1000
67836.8139873725,8,10,10000
5025938.615585546,9,10,100
523135.79676674365,9,10,1000
79201.93236714977,9,10,10000
5598588.487155091,10,10,100
811639.627039627,10,10,1000
76212.45247148289,10,10,10000
4723885.79259936,11,10,100
825842.39888424,11,10,1000
78491.44486692015,11,10,10000
5074311.767463666,12,10,100
847219.9812382739,12,10,1000
62506.76895306859,12,10,10000
1811074.3476120136,1,25,100
89003.42969132778,1,25,1000
11163.861386138613,1,25,10000
3226687.3156342185,2,25,100
122859.57240038873,2,25,1000
20371.428571428572,2,25,10000
